id;book_isbn;quantity;customer_name;order_date;total_price
1;offXXXXXXX;15174;brr gnaw;2025-07-28;1236.15
2;availability ;1731;absent under equal;2025-07-28;2227.59
3;morning seemi;2716;grown ideal;2025-07-28;2412.81
4;outside upon ;12787;positively;2025-07-27;293.11
5;gleefully gaz;2040;however psst;2025-07-28;5165.27
6;dulcimerXX;30372;whose up hourly;2025-07-27;14319.29
7;firsthandX;21986;gray ugh;2025-07-27;10538.27
8;vaguely sans;2953;icy;2025-07-27;26408.51
9;energetically;11034;omelet ultimately zowie;2025-07-27;31762.01
10;midst notwith;1599;but log;2025-07-28;14054.58
